decade,genre,total_sales_millions
1980s,Shooter,6.4
1980s,Platform,4.2
1980s,Sports,4.2
1980s,Puzzle,3.3
1980s,Action,2
1990s,Action,31.8
1990s,Fighting,28.5
1990s,Sports,22.4
1990s,Racing,20.1
1990s,Platform,17
1990s,Shooter,14.8
1990s,Adventure,12.8
1990s,Misc,12
1990s,Strategy,9.5
1990s,Simulation,7.3
1990s,Puzzle,4.1
2000s,Action,233.8
2000s,Sports,201.7
2000s,Shooter,150.6
2000s,Racing,110.6
2000s,Misc,98.2
2000s,Simulation,71.6
2000s,Fighting,58.2
2000s,Adventure,45.5
2000s,Platform,42.3
2000s,Role-Playing,36.7
2000s,Puzzle,12.7
2010s,Shooter,408.5
2010s,Sports,229.9
2010s,Action,196.1
2010s,Role-Playing,86.3
2010s,Action-Adventure,72.9
2010s,Misc,41.8
2010s,Racing,29.4
2010s,Music,14.9
2010s,Adventure,14.8
2010s,Platform,14.5
2010s,Simulation,13.4
2010s,Fighting,12
2010s,MMO,2
2010s,Sandbox,1.9
