publisher,unique_games,total_sales_millions,avg_sales_per_game,avg_critic_score
Activision,48,392.5,4.968,7.89
"Electronic Arts",76,322,3.067,7.73
"EA Sports",45,232.3,3.226,8
"Rockstar Games",20,206.1,6.439,8.65
Ubisoft,44,197.6,3.137,7.57
"Sony Computer Entertainment",40,115.1,2.74,7.81
THQ,31,86.5,2.276,7.42
"Bethesda Softworks",12,70.8,3.932,8.31
LucasArts,16,64,2.562,7.66
"2K Sports",9,46.8,2.463,8.07
Konami,17,46.6,2.59,7.62
"Microsoft Studios",12,42.3,3.526,7.83
Sega,14,40.8,2.553,7.53
Namco,11,39.9,3.324,7.87
"Eidos Interactive",8,37.5,3.75,8.08
"Square Enix",11,34.8,2.489,7.98
"Warner Bros. Interactive",6,32.9,3.289,8.03
"Microsoft Game Studios",8,32.9,4.108,8.7
"Warner Bros. Interactive Entertainment",7,26.2,2.184,7.51
RedOctane,2,23.7,3.948,8.68
